Date,SKU,Name,Brand,Avg Rating,Rating Count,Sponsor,Price,Sales Price,Express,Rank,Link,Delivery
06-Oct-2024,Z788232A,2-piece-yoga-block-props-brick,ZCM-HAPPY,4.3,4,N,N/A,25,Y,133,https://www.noon.com/uae-en/2-piece-yoga-block-props-brick/Z788232ABE3508B6DF27EZ/p/?o=z788232abe3508b6df27ez-1,Get it by 7 Oct
06-Oct-2024,ZE9AB84A,4-in-1-yoga-roller-set-trigger-point-yoga-roller-massage-roller-stick-massage-ball-for-deep-stretching-muscle-massage-pilates-yoga-fitness-exercise-for-whole-body-release,GROIC,5.0,2,N,200,92.95,Y,134,https://www.noon.com/uae-en/4-in-1-yoga-roller-set-trigger-point-yoga-roller-massage-roller-stick-massage-ball-for-deep-stretching-muscle-massage-pilates-yoga-fitness-exercise-for-whole-body-release/ZE9AB84A227A954972F0EZ/p/?o=ze9ab84a227a954972f0ez-1,Get it by 7 Oct
06-Oct-2024,N3738061,11-piece-yoga-resistance-belt-with-bag-22x6x19-00cm,LIXADA,4.3,107,N,32,23,N,135,https://www.noon.com/uae-en/11-piece-yoga-resistance-belt-with-bag-22x6x19-00cm/N37380614A/p/?o=f47d3bca5f3b875e,N/A
06-Oct-2024,N3854435,body-builder-yoga-roller-42x14x14cm,Body,4.5,35,N,38,27.40,Y,136,https://www.noon.com/uae-en/body-builder-yoga-roller-42x14x14cm/N38544352A/p/?o=cc0cf21e314b206d,Get it by 7 Oct
06-Oct-2024,ZAAF4543,prolite-yoga-mat-indulge-71-inch,Manduka,N/A,N/A,N,N/A,490,N,137,https://www.noon.com/uae-en/prolite-yoga-mat-indulge-71-inch/ZAAF4543ABA27716CF7AFZ/p/?o=zaaf4543aba27716cf7afz-1,Get it by 11 Oct
06-Oct-2024,N3051079,pack-of-2-yoga-block-brick-foams,Generic,4.3,12,N,32,28.80,Y,138,https://www.noon.com/uae-en/pack-of-2-yoga-block-brick-foams/N30510793A/p/?o=e88fea5b774407af,Get it by 7 Oct
06-Oct-2024,Z99E3915,lifting-leggings-for-woman-high-waisted-seamless-yoga-compression-pants-gym-workout-tights-fitness-pants,GROIC,N/A,N/A,N,N/A,79.20,Y,139,https://www.noon.com/uae-en/lifting-leggings-for-woman-high-waisted-seamless-yoga-compression-pants-gym-workout-tights-fitness-pants/Z99E39156A28E9886EBE3Z/p/?o=z99e39156a28e9886ebe3z-1,Get it by 7 Oct
06-Oct-2024,N1652962,yoga-ball-with-air-pump-85-cm-85cm,body,3.9,76,N,38.95,31.55,N,140,https://www.noon.com/uae-en/yoga-ball-with-air-pump-85-cm-85cm/N16529626A/p/?o=d79bbd8ff82520cc,N/A
06-Oct-2024,ZA3DED90,5-in-1-foam-roller-set-for-deep-tissue-muscle-massage-trigger-point-fitness-exercise-foam-roller-massage-roller-massage-ball-stretching-strap-for-whole-body,GROIC,N/A,N/A,N,200,99.95,N,141,https://www.noon.com/uae-en/5-in-1-foam-roller-set-for-deep-tissue-muscle-massage-trigger-point-fitness-exercise-foam-roller-massage-roller-massage-ball-stretching-strap-for-whole-body/ZA3DED90B9E16F14E8ED0Z/p/?o=ab6a3bdcee76c88a,N/A
06-Oct-2024,N3453904,foldable-non-slip-yoga-mat,yoga,4.4,73,N,N/A,37.75,Y,142,https://www.noon.com/uae-en/foldable-non-slip-yoga-mat/N34539048A/p/?o=a43345d3b1072ded,Get it by 7 Oct
06-Oct-2024,Z6FAF67B,2pcs-20x20cm-yoga-knee-pad-anti-slip-foam-comfortable-yoga-support-pad-sports-balance-cushion-for-protecting-knee-ankle-elbow-hand,DeloPik,N/A,N/A,N,N/A,29,N,143,https://www.noon.com/uae-en/2pcs-20x20cm-yoga-knee-pad-anti-slip-foam-comfortable-yoga-support-pad-sports-balance-cushion-for-protecting-knee-ankle-elbow-hand/Z6FAF67B9A2FACEF545D4Z/p/?o=z6faf67b9a2facef545d4z-1,Get it by 9 Oct
06-Oct-2024,Z000040E,premium-german-technology-powered-yoga-mat-grey-for-workout-yoga-fitness-pilates-and-meditation-high-density-anti-tear-anti-tear-ideal-for-men-women-with-carry-bag-8mm,KETTLER,N/A,N/A,N,99,49,N,144,https://www.noon.com/uae-en/premium-german-technology-powered-yoga-mat-grey-for-workout-yoga-fitness-pilates-and-meditation-high-density-anti-tear-anti-tear-ideal-for-men-women-with-carry-bag-8mm/Z000040EC521961BC1F75Z/p/?o=z000040ec521961bc1f75z-1,Get it by 8 Oct
